image,n_span,n_nonspan,mean_iou_span,mean_iou_nonspan,gap
PMC3420916_table_0,8,175,0.8935724496841431,0.019030518459954432,-0.8745419312241887
PMC3432071_table_0,16,183,0.8566605485975742,0.049008799543797645,-0.8076517490537766
PMC3438170_table_0,1,52,0.9375066161155701,0.1479629177528505,-0.7895436983627195
PMC3440341_table_0,3,96,0.9153932332992554,0.1762352940592488,-0.7391579392400066
PMC3448603_table_1,1,98,0.8766997456550598,0.03634667915365735,-0.8403530665014025
PMC3458288_table_0,3,29,0.5907975435256958,0.09214032980902441,-0.4986572137166714
PMC3460742_table_7,3,55,0.8788650631904602,0.05353101210838014,-0.82533405108208
PMC3461471_table_2,2,20,0.4325970709323883,0.11942089553922415,-0.31317617539316417
PMC3468408_table_2,4,27,0.9012752622365952,0.08232851981840751,-0.8189467424181877
PMC3470558_table_1,1,58,0.7278913855552673,0.09337797577910383,-0.6345134097761636
PMC3471998_table_2,2,31,0.9266010224819183,0.08302573306906608,-0.8435752894128523
PMC3478812_table_3,1,8,0.0,0.37251139048021287,0.37251139048021287
PMC3523569_table_0,2,43,0.0,0.08424200468458408,0.08424200468458408
PMC3528451_table_3,3,30,0.9426007270812988,0.09253703237821659,-0.8500636947030822
PMC3544577_table_1,4,34,0.9184999465942383,0.060336620546877384,-0.8581633260473609
PMC3548827_table_2,12,208,0.9088728229204813,0.017646267087771915,-0.8912265558327094
PMC3561065_table_1,3,41,0.8910518089930216,0.06923439817094221,-0.8218174108220794
PMC3575293_table_2,1,88,0.9610178470611572,0.056906857407408425,-0.9041109896537488
PMC3583834_table_2,9,39,0.9389505187670389,0.06378982566559735,-0.8751606931014416
PMC3585325_table_0,6,67,0.909869541724523,0.07516913260541745,-0.8347004091191055
PMC3596303_table_0,1,76,0.9170490503311157,0.044340672841491666,-0.872708377489624
PMC3608654_table_4,3,79,0.8978392680486044,0.061550325325018244,-0.8362889427235861
PMC3614478_table_6,3,15,0.7728569507598877,0.1659618578851223,-0.6068950928747654
PMC3616988_table_1,13,83,0.8640231398435739,0.034475134506103504,-0.8295480053374704
PMC3641966_table_2,4,286,0.8946862518787384,0.03470637767829678,-0.8599798742004416
PMC3644285_table_2,5,150,0.9329112291336059,0.06487498358202477,-0.8680362455515811
PMC3655107_table_2,3,65,0.9424923459688822,0.04112060176065335,-0.9013717442082289
PMC3661577_table_1,3,69,0.9174468715985616,0.08450587035791166,-0.83294100124065
PMC3674896_table_1,3,103,0.9072948694229126,0.09426889561333703,-0.8130259738095755
PMC3684599_table_0,4,111,0.9387234151363373,0.0290058003151202,-0.909717614821217
PMC3686617_table_0,5,38,0.9405400872230529,0.062420153169353544,-0.8781199340536994
PMC3695856_table_1,12,113,0.6525873293479284,0.11537486563675699,-0.5372124637111714
