image,has_span,n_gt_rows,n_gt_cols,n_gt_spans,row_mean_iou,row_recall,row_precision,row_f1,col_mean_iou,col_recall,col_precision,col_f1,span_mean_iou,span_recall,span_precision,span_f1,cell_mean_iou,cell_recall,cell_precision,cell_f1,span_cell_mean_iou,span_cell_recall,span_cell_f1,nonspan_cell_mean_iou,nonspan_cell_recall,nonspan_cell_f1,n_gt_cells,n_pred_cells
PMC3045407_table_3,False,26,5,0,0.9336344210001138,1.0,1.0,1.0,0.9676188826560974,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9119617283344269,1.0,1.0,1.0,0.0,0.0,0.0,0.9119617283344269,1.0,1.0,130,130
PMC3050698_table_0,False,12,4,0,0.9595455378293991,1.0,1.0,1.0,0.9733319878578186,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.944969929754734,1.0,1.0,1.0,0.0,0.0,0.0,0.944969929754734,1.0,1.0,48,48
PMC3050775_table_1,True,14,5,3,0.9313588099820274,1.0,1.0,1.0,0.9767682909965515,1.0,1.0,1.0,0.9174837867418925,1.0,1.0,1.0,0.9238480276136256,1.0,1.0,1.0,0.9174837867418925,1.0,1.0,0.9241463514044881,1.0,1.0,67,67
PMC3051733_table_1,False,8,2,0,0.936408556997776,1.0,1.0,1.0,0.982767641544342,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9345063418149948,1.0,1.0,1.0,0.0,0.0,0.0,0.9345063418149948,1.0,1.0,16,16
PMC3052110_table_2,False,9,2,0,0.9492516451411777,1.0,1.0,1.0,0.9858887493610382,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9478124777475992,1.0,1.0,1.0,0.0,0.0,0.0,0.9478124777475992,1.0,1.0,18,18
PMC3062595_table_4,True,12,13,5,0.9129113753636678,1.0,1.0,1.0,0.875414985876817,1.0,1.0,1.0,0.8026105642318726,1.0,0.45454545454545453,0.625,0.8031564484648153,0.9863945578231292,0.9731543624161074,0.9797297297297297,0.8026105642318726,1.0,1.0,0.8031756697406232,0.9859154929577465,0.9824561403508772,147,149
PMC3069946_table_1,False,14,2,0,0.8700465304510934,1.0,0.9333333333333333,0.9655172413793104,0.9621277749538422,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.692000975566251,0.7857142857142857,0.88,0.830188679245283,0.0,0.0,0.0,0.692000975566251,0.7857142857142857,0.830188679245283,28,25
PMC3089091_table_1,False,7,2,0,0.9572293502943856,1.0,1.0,1.0,0.9800201952457428,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9538185511316571,1.0,1.0,1.0,0.0,0.0,0.0,0.9538185511316571,1.0,1.0,14,14
PMC3089255_table_0,False,7,2,0,0.9590772475515094,1.0,1.0,1.0,0.9768916368484497,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9560519797461373,1.0,1.0,1.0,0.0,0.0,0.0,0.9560519797461373,1.0,1.0,14,14
PMC3099828_table_2,False,20,7,0,0.9557549297809601,1.0,1.0,1.0,0.9715234381811959,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9349857951913562,1.0,1.0,1.0,0.0,0.0,0.0,0.9349857951913562,1.0,1.0,140,140
