model,detected,iou,max_norm,max_snap,grid_err
v1.0,1,0.9477975368499756,0.027631449192141416,1.0676459228515682,0.0
v1.0,1,0.9572662711143494,0.018633052890915925,0.9782446777343807,0.0
v1.0,1,0.8725855350494385,0.062144798190374884,2.1520619323730443,0.0
v1.0,1,0.9075503349304199,0.05704851827259092,1.9755787780761693,0.0
v1.0,1,0.9079892039299011,0.054812341497322586,1.8981404235839818,0.0
v1.0,1,0.8806989192962646,0.06022069475522158,3.3705624511718497,0.0
v1.0,1,0.8064889907836914,0.14279347239417356,3.1403073242187247,0.0
v1.0,1,0.9253719449043274,0.034600215844314344,4.130450903320309,0.0
v1.0,1,0.9145604968070984,0.04326590616209132,2.736061865234376,0.0
v1.0,1,0.9194830060005188,0.041807929871148286,2.5753183105468906,0.0
v1.0,1,0.8879830837249756,0.07519246670090085,2.372585498046874,0.0
v1.0,1,0.9390376210212708,0.027084326532471132,1.7662556030273464,0.0
v1.0,1,0.903316080570221,0.04425634890366094,2.8860981323242214,0.0
v1.0,1,0.8429691195487976,0.13310054856952921,8.412527001953094,0.0
v1.0,1,0.8326402902603149,0.13185064075074324,4.123800195312469,0.0
v1.0,1,0.9176245927810669,0.053697531525148307,1.6917729492187163,0.0
v1.0,1,0.9220293164253235,0.03056905736695705,1.898228869628909,0.0
v1.0,1,0.9101254343986511,0.04851390605131279,3.1637470581054714,0.0
v1.0,1,0.9164926409721375,0.053135062633512836,1.6721285400390684,0.0
v1.0,1,0.9338926672935486,0.027099761899645816,0.6734372131347683,0.0
v1.0,1,0.9743360280990601,0.012023531570125529,0.5309735107422,0.0
v1.0,1,0.9478405714035034,0.027603448428056954,0.8910890014648487,0.0
v1.0,1,0.9807665944099426,0.015850742877742612,0.47318430175781145,0.0
v1.0,1,0.9551353454589844,0.030664458023988917,2.041123083496089,0.0
v1.0,1,0.9451550245285034,0.041337457616189725,1.03268823242189,0.0
v1.0,1,0.9739915728569031,0.01038899256847077,0.9933871582031202,0.0
v1.0,1,0.9871022701263428,0.007699831879675039,0.4297392578125141,0.0
v1.0,1,0.9766561985015869,0.011138319699528183,0.8510039062500141,0.0
v1.0,1,0.973253071308136,0.01587005673396837,0.925885937500027,0.0
v1.0,0,0.0,,,
v1.0,1,0.9797414541244507,0.015531088577532815,0.5996833740234422,0.0
v1.0,1,0.9330905675888062,0.038672560866364024,1.3113537109375102,0.0
v1.0,1,0.9621424078941345,0.027115043962109807,1.1515732055664074,0.0
v1.0,1,0.9417110681533813,0.04140757251293713,1.7585754638671887,0.0
v1.0,1,0.9746645092964172,0.0163541394522723,1.4040246093750284,0.0
v1.0,1,0.9905959367752075,0.0034976631777350283,0.3298275390625065,0.0
v1.0,1,0.9799626469612122,0.011021741815969073,0.9334652343750065,0.0
v1.0,1,0.9767209887504578,0.011004853168247276,0.45865771484375273,0.0
v1.0,1,0.9858048558235168,0.005393584658137495,0.3584423828125409,0.0
v1.0,1,0.8967942595481873,0.07029631202211967,3.702787939453131,0.0
v1.0,1,0.8482372760772705,0.0821599743353382,4.552656713867194,0.0
v1.0,1,0.8893747925758362,0.09310605540815514,4.602623364257823,0.0
v1.0,1,0.9851500391960144,0.010625678163144858,0.5481999877929695,0.0
v1.0,1,0.9754918813705444,0.009519398819312814,3.4324696044921836,0.0
v1.0,1,0.9783430695533752,0.012618796853875737,0.651028967285157,0.0
v1.0,1,0.9475169777870178,0.02225631468773499,2.673909423828121,0.0
v1.0,1,0.978793203830719,0.007319011630110052,0.5800124023437547,0.0
v1.0,1,0.969399094581604,0.022259142536483575,0.840756750488282,0.0
v1.0,1,0.9138404726982117,0.0463879780947571,1.4595513427734375,0.0
v1.0,1,0.8583829998970032,0.09210826122934623,2.795872583007821,0.0
v1.0,1,0.8614370822906494,0.08726740580575007,2.8489579101562583,0.0
v1.0,1,0.9660669565200806,0.0225444291154734,0.8711483032226539,0.0
v1.0,1,0.9343544840812683,0.041415881659975354,2.5954163085937125,0.0
v1.0,1,0.8642315864562988,0.08359395558720574,2.6306599853515706,0.0
v1.0,1,0.9357622861862183,0.03233375770397105,2.220488476562508,0.0
v1.0,1,0.9696865677833557,0.023306789158180703,1.4685770996093765,0.0
v1.0,1,0.9546443223953247,0.037042550545364955,1.0956334472656408,0.0
v1.0,1,0.931016206741333,0.03407198022044715,0.9545844482422012,0.0
v1.0,1,0.9537171125411987,0.0356438847591608,4.363909326171864,0.0
v1.0,1,0.9345656633377075,0.036710474981910234,4.103945336914052,0.0
v1.0,1,0.9610324501991272,0.02989644697994435,0.7797232543945327,0.0
v1.0,1,0.9655621647834778,0.020258824067010912,1.1086094482421913,0.0
v1.0,1,0.9705047011375427,0.013134989792664847,1.4056383056640698,0.0
v1.0,1,0.8414955139160156,0.14378222133260815,5.017898876953097,0.0
v1.0,1,0.9039636850357056,0.04656166903422169,4.055412060546871,0.0
v1.0,1,0.9138639569282532,0.06455831294320906,2.255473779296892,0.0
v1.0,1,0.8432947397232056,0.12878724166122157,4.493541406250017,0.0
v1.0,1,0.9665468335151672,0.01986896405741272,0.693283789062491,0.0
v1.0,1,0.9714236855506897,0.02372871768701647,1.444561621093726,0.0
v1.0,1,0.9355197548866272,0.043347327808309286,1.655560156249976,0.0
v1.0,1,0.9060841202735901,0.043680025063765206,2.390271435546879,0.0
v1.0,1,0.9343987703323364,0.05273257926770149,2.8856480224609413,0.0
v1.0,1,0.9464360475540161,0.04302670196196873,2.3545200927734413,0.0
v1.0,1,0.9369512796401978,0.049877671637422676,2.729420910644535,0.0
v1.0,1,0.9559066891670227,0.025059807662325396,1.5504145507812552,0.0
v1.0,1,0.9366955757141113,0.02348373656257371,3.0680689697265677,0.0
v1.0,1,0.8753725290298462,0.043980353153799945,5.178458154296891,0.0
v1.0,1,0.8846914172172546,0.04956855671514884,3.692202783203129,0.0
v1.0,1,0.9764295816421509,0.0135567236955444,0.4366430908203114,0.0
v1.0,1,0.9758516550064087,0.01191281498647679,1.0595222167968643,0.0
