image,detected,gt_span_w,gt_span_h,iou,offset_x1,offset_y1,offset_x2,offset_y2,norm_x1,norm_y1,norm_x2,norm_y2,snap_x1,snap_x2,snap_y1,snap_y2,max_offset,max_norm,max_snap,grid_err_col,grid_err_row,grid_err_any
PMC3020960_table_0,1,68.46419999999999,32.71189999999999,0.8890016078948975,1.098687365722654,1.4801124633789087,1.1366136718750113,1.3622624023437453,0.016047618546958176,0.04524691208333692,0.01660157676384171,0.0416442457437124,1.098687365722654,1.1366136718750113,1.4801124633789087,1.3622624023437453,1.4801124633789087,0.04524691208333692,1.4801124633789087,0.0,0.0,0.0
PMC3020960_table_0,1,71.14699999999999,32.71189999999999,0.8925941586494446,0.2509900878906137,1.361822515869143,2.335368017578105,1.1999165161132765,0.003527767690705353,0.04163079845160762,0.032824546608825465,0.03668134581339747,0.2509900878906137,2.335368017578105,1.361822515869143,1.1999165161132765,2.335368017578105,0.04163079845160762,2.335368017578105,0.0,0.0,0.0
PMC3020960_table_0,1,78.4606,32.71189999999999,0.9106093049049377,0.7077740234374801,1.2080520690917993,0.8018579101562295,1.245341931152339,0.009020757213652204,0.036930048975810016,0.01021987991624114,0.03806999688652568,0.7077740234374801,0.8018579101562295,1.2080520690917993,1.245341931152339,1.245341931152339,0.03806999688652568,1.245341931152339,0.0,0.0,0.0
PMC3020960_table_0,1,64.4957,32.71189999999999,0.9026073813438416,0.16744140625002046,1.1815208496093774,0.7519646484374789,1.6924625976562453,0.0025961638721654383,0.03611899185340435,0.01165914391870278,0.051738437622279525,0.16744140625002046,0.7519646484374789,1.1815208496093774,1.6924625976562453,1.6924625976562453,0.051738437622279525,1.6924625976562453,0.0,0.0,0.0
PMC3020960_table_0,1,186.6495,13.823,0.8683058619499207,1.370960156250021,1.1393684448242212,5.896203808593782,0.3381695312500028,0.007345104895807496,0.08242555485959785,0.03158971124269705,0.024464264721840615,1.370960156250021,5.896203808593782,1.1393684448242212,0.3381695312500028,5.896203808593782,0.08242555485959785,5.896203808593782,0.0,0.0,0.0
PMC3020960_table_0,1,56.22320000000002,32.71189999999999,0.866756796836853,2.198510937500032,0.9676612915039087,2.031829492187512,1.3109623535156203,0.039103269424366295,0.029581323356451594,0.036138631244530935,0.040076007615443325,2.198510937500032,2.031829492187512,0.9676612915039087,1.3109623535156203,2.198510937500032,0.040076007615443325,2.198510937500032,0.0,0.0,0.0
PMC3033815_table_1,1,102.62740000000001,67.1947,0.9173168540000916,0.40703088378906216,2.826867254638671,3.7822031005859458,0.36880216064453464,0.0039661034362077005,0.04206979500821748,0.03685373594757292,0.0054885602680648125,0.40703088378906216,3.7822031005859458,2.826867254638671,0.36880216064453464,3.7822031005859458,0.04206979500821748,3.7822031005859458,0.0,0.0,0.0
PMC3033815_table_1,0,560.6246,13.968199999999996,0.0,,,,,,,,,,,,,,,,,,
PMC3033815_table_1,0,457.99719999999996,16.589,0.0,,,,,,,,,,,,,,,,,,
PMC3034664_table_2,1,83.2467,87.3637,0.930549144744873,0.27292213134765575,1.4754243530273428,3.433021643066411,0.9744513916015762,0.0032784738776150376,0.016888299751811598,0.041239131918339236,0.011153962018568081,0.27292213134765575,3.433021643066411,1.4754243530273428,0.9744513916015762,3.433021643066411,0.041239131918339236,3.433021643066411,0.0,0.0,0.0
